id;duration;title;description;cloud_url;record_start_time;record_end_time;cloud_upload_start_time;cloud_uploadpload_end_time;server_upload_time;public_hash;latitude;longitude;hash;capture_mode
1;3872;Tuvalu multi-tasking;B2B Electronics Refined;Distributed Consultant;2021-05-14T03:17:01;2021-05-14T18:03:28;2021-05-14T12:14:52;2021-05-14T13:57:35;2021-05-14T12:20:38;hacking deposit;88620;29616;Car Integration generate;INDIRECT
2;31775;invoice;alarm Cambridgeshire Towels;Configurable National black;2021-05-14T19:59:24;2021-05-14T17:26:01;2021-05-14T20:10:39;2021-05-14T11:39:43;2021-05-14T11:11:29;revolutionize Sleek Dollar;71640;93970;protocol transform tertiary;PANIC
3;10060;Kenya;Human;viral Garden bleeding-edge;2021-05-14T05:48:10;2021-05-14T19:12:51;2021-05-14T20:25:02;2021-05-14T13:49:44;2021-05-14T16:51:45;application Concrete Canyon;26117;41965;Small payment;INDIRECT
4;27129;Operations Automotive;turquoise;ADP Multi-layered;2021-05-14T16:45:53;2021-05-14T14:50:40;2021-05-14T11:51:54;2021-05-14T13:55:25;2021-05-14T03:04:33;Haven;26583;733;Square;PANIC
5;25311;Account;Street supply-chains;Accountability matrix Pants;2021-05-14T03:28:16;2021-05-14T04:50:26;2021-05-14T08:06:32;2021-05-14T09:02:02;2021-05-14T16:53:06;Cayman Maryland Generic;9791;57948;Baby Supervisor;INDIRECT
6;55862;Saudi;benchmark;JBOD Bacon;2021-05-14T09:50:31;2021-05-14T23:01:39;2021-05-14T11:42:57;2021-05-14T16:14:46;2021-05-14T02:43:01;value-added;56435;59913;Fuerte web-enabled;PANIC
7;53805;Awesome firewall alarm;Gorgeous;primary Rubber;2021-05-14T21:26:17;2021-05-14T02:55:21;2021-05-14T20:01:05;2021-05-14T01:04:43;2021-05-14T21:13:55;Concrete Specialist port;75750;32850;Ghana;DIRECT
8;5275;COM;Multi-tiered invoice back-end;Directives;2021-05-14T12:27:24;2021-05-14T12:44:03;2021-05-14T08:45:34;2021-05-14T21:22:56;2021-05-14T02:04:07;Human Burgs Gorgeous;61591;80965;Avon implementation Personal;DIRECT
9;7887;Rubber;wireless Wooden Soft;haptic Gorgeous Clothing;2021-05-14T09:17:46;2021-05-14T08:56:54;2021-05-14T15:30:01;2021-05-14T13:49:34;2021-05-14T12:08:54;Keyboard Generic Card;43399;96308;solid;DIRECT
10;41680;Wyoming bypassing Concrete;Designer Coordinator;green;2021-05-14T06:08:23;2021-05-14T06:51:00;2021-05-14T21:20:50;2021-05-14T14:44:46;2021-05-14T07:43:19;Soft;31824;17346;Dinar Awesome;DIRECT
