id;type;blacklisted;hash;name;link_date;blacklist_date;blacklist_reason;imei;camera_perm_granted;location_perm_granted;bg_internet_perm_granted;status;os
1;systemic;false;program system-worthy panel;Qatar;2021-05-14T04:06:33;2021-05-14T07:11:14;Harbors;Money;2021-05-14T23:36:45;2021-05-14T19:23:06;2021-05-14T01:38:51;BLACKLISTED;ANDROID_OS
2;Sleek Executive Personal;true;Borders Dollar Human;Borders distributed teal;2021-05-14T19:42:32;2021-05-14T05:39:39;Concrete client-server;Colorado;2021-05-14T13:08:37;2021-05-14T19:19:40;2021-05-14T17:45:18;UNVERIFIED;ANDROID_OS
3;Maine Assistant;true;experiences;Pizza;2021-05-14T05:27:44;2021-05-14T20:01:37;Bike Georgia;Mobility Auto;2021-05-14T07:03:57;2021-05-14T13:56:30;2021-05-14T04:18:42;LINKED;IOS
4;real-time systematic Ergonomic;true;Washington;Forward Uzbekistan bus;2021-05-14T21:51:55;2021-05-14T11:01:38;HDD synthesize;Outdoors Kina;2021-05-15T00:32:28;2021-05-14T16:11:55;2021-05-15T00:17:47;BLACKLISTED;ANDROID_OS
5;SSL static port;false;Operations Games;evolve Awesome;2021-05-14T03:01:44;2021-05-14T06:46:29;synthesize paradigm real-time;generation Lodge workforce;2021-05-14T01:31:55;2021-05-14T06:36:34;2021-05-14T04:19:11;TRUSTED;ANDROID_OS
6;Soft SMTP;true;Borders;primary SAS Kentucky;2021-05-14T01:34:54;2021-05-14T22:41:21;Senior;Chief;2021-05-14T19:20:51;2021-05-14T19:25:40;2021-05-14T14:51:33;LINKED;ANDROID_OS
7;deliver payment Sausages;false;synthesize;Chips;2021-05-14T15:08:46;2021-05-14T07:13:52;Right-sized Hampshire;Quality;2021-05-14T22:31:55;2021-05-14T16:35:50;2021-05-14T12:41:19;BLACKLISTED;ANDROID_OS
8;wireless virtual;true;cultivate Wisconsin;backing Pakistan RSS;2021-05-14T23:58:52;2021-05-14T06:28:27;leading-edge Bacon;Idaho deposit;2021-05-14T01:17:44;2021-05-14T06:12:13;2021-05-14T21:35:24;BLACKLISTED;IOS
9;Rubber hacking;true;Implementation;Mount;2021-05-14T03:13:33;2021-05-14T22:23:30;New input;Electronics;2021-05-14T15:09:57;2021-05-14T04:12:59;2021-05-14T22:58:07;LINKED;IOS
10;optimize;false;Response online;Centralized;2021-05-14T20:40:32;2021-05-14T12:10:24;leverage invoice redundant;Pines withdrawal info-mediaries;2021-05-15T00:01:09;2021-05-14T02:29:17;2021-05-14T04:55:09;UNVERIFIED;ANDROID_OS
